AHPS NAME,PROXIMITY,RIVER WATERBODY NAME,NWSLI,LOCATION TYPE,USGS ID,LATITUDE,LONGITUDE,WFO,RFC,STATE,HUC2,INUNDATION,ELEVATION,ACTION STAGE,FLOOD STAGE,MODERATE FLOOD STAGE,MAJOR FLOOD STAGE,FLOOD STAGE UNIT,COEID,HYDROGRAPH,PEDTS,IN SERVICE,LOW WATER THRESHOLD VALUE / UNITS,FORECAST STATUS,DISPLAY LOW WATER IMPACTS,LOW FLOW DISPLAY,GIVE DATA ATTRIBUTION,ATTRIBUTION WORDING,FEMA WMS,PROBABILISTIC SITE,WEEKLY CHANCE PROBABILISTIC ENABLED,SHORT-TERM PROBABILISTIC ENABLED,CHANCE OF EXCEEDING PROBABILISTIC ENABLED,NRLDB VERTICAL DATUM NAME,NRLDB VERTICAL DATUM,NAVD88 VERTICAL DATUM,NGVD29 VERTICAL DATUM,MSL VERTICAL DATUM,OTHER VERTICAL DATUM,COUNTY,TIME ZONE
Pomonkey,near,Mattawoman Creek,POMM2,River Stage/Flow Location,US01658000,38.596111,-77.056111,LWX,MARFC,MD,Mid Atlantic Region,No,,6,7,10,12,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=pomm2,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NAVD88,39.76,,,,,Charles,America/New_York
Dawes Highway at Pompton Lakes,at,Ramapo River,POMN4,River Stage/Flow Location,US01388100,40.985556,-74.279444,PHI,MARFC,NJ,Mid Atlantic Region,No,175.3,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=pomn4,HGIRG,Yes,-9999 Feet,Data Point,Yes,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD29,175.3,,175.3,,,Passaic,America/New_York
Pomeroy,at,Ohio River,POMO1,River Stage/Flow Location,,39.027222,-82.031944,RLX,OHRFC,OH,Ohio Region,No,517.500 ft,42,46,48,50,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rlx&gage=pomo1,HGIRZ,Yes,-9999 Feet,High Water,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD 29,517.5,,517.500 ft,,,Meigs,America/New_York
Lake Poinsett Inlet/Outlet,at,Big Sioux River,PONS2,River Stage/Flow Location,,44.596111,-97.0275,ABR,MBRFC,SD,Missouri Region,No,,1651.5,1654,1655,1657,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=abr&gage=pons2,HLIRG,Yes,-9999 Feet,Data Point,No,No,Yes,South Dakota DANR,Yes,No,N/A,N/A,N/A,NAVD88,0,0.00,,,,Hamlin,America/Chicago
Poor Mountain,,,POOV2,Precipitation Location,,37.162561,-80.192461,RNK,SERFC,VA,New England Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rnk&gage=poov2,,Yes,,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Montgomery,America/New_York
Lutsen,near,Poplar River (MN),POPM5,River Stage/Flow Location,,47.640197,-90.710779,DLH,NCRFC,MN,Great Lakes Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=dlh&gage=popm5,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,Minnesota DNR 01063003,No,No,N/A,N/A,N/A,,738,,,,,Cook,America/Chicago
Point Pleasant,at,Ohio River,POPW2,River Stage/Flow Location,US03201500,38.843889,-82.139722,RLX,OHRFC,WV,Ohio Region,No,,38,40,44,48,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rlx&gage=popw2,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,513.08,513.08,,,514.10,Mason,America/New_York
Porthill,at,Kootenai River,PORI1,River Stage/Flow Location,US12322000,48.996390,-116.5075,OTX,NWRFC,ID,Pacific Northwest Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=otx&gage=pori1,HGIRG,Yes,39 Feet,Year-round,Yes,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,NGVD29,1700,,,,,Boundary,America/Los_Angeles
Portland,at,Salamonie River,PORI3,River Stage/Flow Location,US03324200,40.427778,-85.038889,IWX,OHRFC,IN,Great Lakes Region,No,,9,11,14,16,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=iwx&gage=pori3,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,the USGS (03324200),Yes,Yes,Yes,Yes,Yes,NAVD88,877.03,877.03,,,,Jay,America/New_York
Point of Rocks,at,Potomac River,PORM2,River Stage/Flow Location,US01638500,39.273611,-77.543056,LWX,MARFC,MD,Mid Atlantic Region,No,200.63 ft,11,16,20,27,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=porm2,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,199.92,,200.63 ft,,,,America/New_York
Portland,at,Grand River,PORM4,River Stage/Flow Location,US04114000,42.856423,-84.912218,GRR,NCRFC,MI,Great Lakes Region,No,,11,12,14,16,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=grr&gage=porm4,HGIRZ,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,704.52,704.52 ft,,,,Ionia,America/New_York
Portsmouth,at,Ohio River,PORO1,River Stage/Flow Location,US03217200,38.728889,-82.973056,ILN,OHRFC,OH,Ohio Region,No,470.43,35,50,57,66,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=iln&gage=poro1,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,USGS/Army Corps of Engineers,Yes,Yes,Yes,No,Yes,NGVD29,470.43,469.468,470.43,,470.9 ft,Scioto,America/New_York
Port Royal,near,Tuscarora Creek,PORP1,River Stage/Flow Location,US01566000,40.515278,-77.419444,CTP,MARFC,PA,Mid Atlantic Region,No,420.47,0,10,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ctp&gage=porp1,HGIRG,Yes,0 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD29,420.47,,420.47,,,Juniata,America/New_York
Port Royal,near,Red River,PORT1,River Stage/Flow Location,US03436100,36.553889,-87.141944,OHX,OHRFC,TN,Ohio Region,No,,25,30,38,40,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ohx&gage=port1,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,,376.25,,,,376.25 ft,,America/Chicago
Portage,at,Wisconsin River,PORW3,River Stage/Flow Location,,43.536350,-89.47383,MKX,NCRFC,WI,Upper Mississippi Region,No,,12.7,17,18,19,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mkx&gage=porw3,HGIRP,Yes,-9999 Feet,High Water,No,No,Yes,"NWS, City/Portage, Columbia Co.",Yes,Yes,Yes,No,Yes,NAVD88,774.3,774.30 ft,,,,Columbia,America/Chicago
County Line Road near Orchard Hill,at,Potato Creek,POTG1,Stage/Flow and Precipitation Location,US02346310,33.187222,-84.229444,FFC,SERFC,GA,South Atlantic-Gulf Region,No,,9,11,13,17,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=potg1,HGIRG,Yes,-9999 Feet,Data Point,Yes,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,757.64,757.64 ft,,,,Spalding,America/New_York
Portville,above,Dodge Creek (NY),POTN6,River Stage/Flow Location,US03010720,42.036389,-78.3425,BUF,OHRFC,NY,Ohio Region,No,,15,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=buf&gage=potn6,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,,0,,,,,Cattaraugus,America/New_York
Union,near,Potecasi Creek,POTN7,River Stage/Flow Location,US02053200,36.370833,-77.025556,AKQ,SERFC,NC,South Atlantic-Gulf Region,No,3.53,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=akq&gage=potn7,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,2.4,2.40,3.53,,,Hertford,America/New_York
Potts Mountain,,,POTV2,Precipitation Location,,37.536111,-80.230278,RNK,MARFC,VA,Mid Atlantic Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rnk&gage=potv2,,Yes,,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Craig,America/New_York
Fort Collins,at,Cache La Poudre River (CO),POUC2,Stage/Flow and Precipitation Location,US06752260,40.588100,-105.0692,BOU,MBRFC,CO,Missouri Region,No,,8.5,10,11,12,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=bou&gage=pouc2,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,U.S. Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD29,4940,,4940,,,Larimer,America/Denver
Powder Springs,near,Powder Springs Creek,POWG1,Stage/Flow and Precipitation Location,US02336870,33.859167,-84.688361,FFC,SERFC,GA,South Atlantic-Gulf Region,No,,9,11,15,20,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=powg1,HGIRG,Yes,-9999 Feet,Data Point,Yes,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,893.14,893.14 ft,,,,Cobb,America/New_York
Powhatan Point,at,Ohio River,POWO1,River Stage/Flow Location,,39.860556,-80.799444,PBZ,OHRFC,OH,Ohio Region,No,596 ft,29,37,39,41,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=powo1,HGIRZ,Yes,-9999 Feet,High Water,No,No,No,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 1929,596,,596 ft,,,Belmont,America/New_York
Powers,at,South Fk Coquille River,POWO3,River Stage/Flow Location,US14325000,42.891499,-124.070652,MFR,NWRFC,OR,Pacific Northwest Region,No,197.42,10,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mfr&gage=powo3,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,NGVD29,197.42,,197.42,,,Coos,America/Los_Angeles
Pierre Part,near,Belle River,PPAL1,River Stage/Flow Location,US07381454,29.908889,-91.215833,LIX,LMRFC,LA,Lower Mississippi Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=ppal1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,,,,,,Assumption Parish,America/Chicago
Pools Bluff near Bogalusa,at,Pearl River,PPBL1,River Stage/Flow Location,US02490193,30.705833,-89.846389,LIX,LMRFC,LA,Lower Mississippi Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=ppbl1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,U.S. Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,,,,,,Washington Parish,America/Chicago
Poplar Bluff,at,Black River,PPBM7,River Stage/Flow Location,US07063000,36.759722,-90.388056,PAH,LMRFC,MO,Arkansas-White-Red Region,No,317.48 ft,12,16,19,21,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pah&gage=ppbm7,HGIRG,Yes,0 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NVGD29,317.48,,317.48 ft,,,Butler,America/Chicago
Pacheco Reservoir Precipitation,,,PPCC1,Precipitation Location,,37.056593,-121.289717,MTR,CNRFC,CA,California Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=ppcc1,,Yes,-9999 Feet,No routine,No,No,Yes,Santa Clara Valley Water District,No,No,N/A,N/A,N/A,,,,,,,Santa Clara,America/Los_Angeles
Malaga at Pierce Canyon Crossing,other,Pecos River,PPCN5,River Stage/Flow Location,US08407000,32.188611,-103.979444,MAF,WGRFC,NM,Rio Grande Region,No,2889.18 ft,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=maf&gage=ppcn5,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD29,2889.18,,2889.18 ft,,,Eddy,America/Denver
Del Rio,near,Pinto Creek,PPDT2,Stage/Flow and Precipitation Location,,29.145833,-100.718056,EWX,WGRFC,TX,Texas-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=ppdt2,HGIRG,Yes,0 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,,,,,,,Kinney,America/Chicago
Parsons,near,Neosho River,PPFK1,River Stage/Flow Location,US07183500,37.340060,-95.10997,ICT,ABRFC,KS,Arkansas-White-Red Region,No,810.25 ft,19,21,23,32,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ict&gage=ppfk1,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,NGVD29,810.25,,810.25 ft,,,Labette,America/Chicago
Pipers Gap,,,PPGV2,Precipitation Location,,36.605278,-80.796111,RNK,OHRFC,VA,Ohio Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rnk&gage=ppgv2,,Yes,0 Feet,No routine,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Carroll,America/New_York
Pepper Pike,at,Unknown Tributary to Chagrin River,PPKO1,Stage/Flow and Precipitation Location,US04208923,41.471100,-81.4383,CLE,OHRFC,OH,Great Lakes Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=cle&gage=ppko1,HGIRG,Yes,-9999 Feet,Data Point,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,NAVD88,937.11,,,,,Cuyahoga,America/New_York
Pompton Plains,at,Pompton River,PPPN4,River Stage/Flow Location,US01388500,40.969722,-74.281944,PHI,MARFC,NJ,Mid Atlantic Region,Yes,160 ft,13,16,18,19,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=pppn4,HGIRG,Yes,0 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 1929,160,,160 ft,,,,America/New_York
Provo,near,Provo River,PPPU1,River Stage/Flow Location,US10163000,40.239256,-111.711194,SLC,CBRFC,UT,Great Basin Region,No,,7.7,8.1,8.7,9.2,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=slc&gage=pppu1,HGIRG,Yes,-9999 Feet,Navigation Season,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,NAVD88,4503,4503,,,,Utah,America/Denver
Intl Boundary,near,Poplar River,PPRM8,River Stage/Flow Location,US06178000,48.990278,-105.696944,GGW,MBRFC,MT,Missouri Region,No,2460.00,5,6,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ggw&gage=pprm8,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,,2460,,2460.00,,2460 ft,Daniels,America/Denver
Pompton Lakes,at,Ramapo River,PPTN4,River Stage/Flow Location,US01388000,40.991944,-74.28,PHI,MARFC,NJ,Mid Atlantic Region,Yes,171.35 ft,10,11.5,13.5,14.5,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=pptn4,HGIRG,Yes,0 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 1929,171.35,,171.35 ft,,,,America/New_York
Piney Point Village,at,Buffalo Bayou,PPTT2,River Stage/Flow Location,US08073700,29.746667,-95.523333,HGX,WGRFC,TX,Texas-Gulf Region,Yes,,49,52,57,60,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=hgx&gage=pptt2,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,0,,,,NULL,Harris,America/Chicago
Tula,near,Presque Isle River,PQSM4,River Stage/Flow Location,US04032000,46.547222,-89.777222,MQT,NCRFC,MI,Great Lakes Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mqt&gage=pqsm4,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,USGS,,1299.66,,,,Gogebic,America/Chicago
Pequest,at,Pequest River,PQTN4,River Stage/Flow Location,US01445500,40.830556,-74.977778,PHI,MARFC,NJ,Mid Atlantic Region,No,398.78,5,6,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=pqtn4,HGIRG,Yes,,Data Point,Yes,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,,398.78,,398.78,,,Warren,America/New_York
Peoria Lock and Dam,at,Illinois River,PRAI2,Stage/Flow and Precipitation Location,,40.630578,-89.625928,ILX,NCRFC,IL,Upper Mississippi Region,No,,444,447,449,455,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ilx&gage=prai2,HTIRZ,Yes,-9999 Feet,Year-round,No,No,Yes,USACE,Yes,No,N/A,N/A,N/A,NGVD29,0,,0 ft,,,Peoria,America/Chicago
Prairieburg,at,Buffalo Creek (IA),PRAI4,River Stage/Flow Location,US05421682,42.195833,-91.422778,DVN,NCRFC,IA,Upper Mississippi Region,No,828.48,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=dvn&gage=prai4,HGIRG,No,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,,,828.48,,,Linn,America/Chicago
Alpha,near,Paint River,PRAM4,River Stage/Flow Location,US04062000,46.011111,-88.258333,MQT,NCRFC,MI,Great Lakes Region,No,1260,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mqt&gage=pram4,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD 1929,1260,,1260,,,Iron,America/Chicago
Prattsburg,,,PRAN6,Precipitation Location,,42.541389,-77.326389,BGM,MARFC,NY,Mid Atlantic Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=bgm&gage=pran6,,Yes,,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Steuben,America/New_York
Paso Robles,at,Salinas River,PRBC1,River Stage/Flow Location,US11147500,35.628611,-120.683333,LOX,CNRFC,CA,California Region,No,,23,29,33,37,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lox&gage=prbc1,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,,663.35,,,,670.61 ft,San Luis Obispo,America/Los_Angeles
Slidell,above,Pearl River,PRBL1,River Stage/Flow Location,US02492700,30.297500,-89.702222,LIX,LMRFC,LA,South Atlantic-Gulf Region,No,,8,10,12,14,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=prbl1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,U.S. Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,0,,,,,St. Tammany Parish,America/Chicago
International Boundary near Old Crow,near,Porcupine River,PRBQ9,River Stage/Flow Location,US15388960,67.424167,-140.891111,PAFG3,APRFC,AK,Alaska Region,No,,41,46,52,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pafg3&gage=prbq9,HGIRG,Yes,-9999 Feet,Summer-only,No,No,Yes,Water Survey of Canada,No,No,N/A,N/A,N/A,,600,,,,0,,America/Anchorage
Presidio,other,Alamito Creek,PRBT2,River Stage/Flow Location,US08374000,29.520833,-104.294444,MAF,WGRFC,TX,Rio Grande Region,No,2541.61 ft,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=maf&gage=prbt2,HGIRG,Yes,,Data Point,No,No,Yes,Intl Boundary & Water Commission,Yes,No,N/A,N/A,N/A,NGVD29,2541.61,,2541.61 ft,,,Presidio,America/Chicago
mouth of Coleen River,at,Porcupine River,PRCA2,River Stage/Flow Location,,67.078889,-142.478889,PAFG3,APRFC,AK,Alaska Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pafg3&gage=prca2,HGIRV,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,,America/Anchorage
Jackson Parkway at Atlanta,at,Proctor Creek,PRCG1,Stage/Flow and Precipitation Location,US02336526,33.794167,-84.474444,FFC,SERFC,GA,South Atlantic-Gulf Region,No,,11,13,18,24,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=prcg1,HGIRG,Yes,-9999 Feet,Data Point,Yes,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,758.83,758.83 ft,,,,Fulton,America/New_York
Prichard,near,North Fork Coeur d'Alene River,PRCI1,River Stage/Flow Location,US12411000,47.706110,-115.9792,OTX,NWRFC,ID,Pacific Northwest Region,No,2485,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=otx&gage=prci1,HGIRG,Yes,0 Feet,Year-round,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,USGS,2485,,2485,,,Shoshone,America/Los_Angeles
Little Sandy Creek at Peiars Rd. near Milldale,at,Amite River Basin,PRCL1,River Stage/Flow Location,US07377230,30.643611,-91.0075,LIX,LMRFC,LA,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=prcl1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,39.08,,,,,East Baton Rouge Parish,America/Chicago
Thompson Falls,at,Prospect Creek,PRCM8,River Stage/Flow Location,US12390700,47.586111,-115.354167,MSO,NWRFC,MT,Pacific Northwest Region,No,,6.5,7.5,8,9,FT,UNK,https://water.weather.gov/ahps2/hydrograph.php?wfo=mso&gage=prcm8,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,,2382.4,,,,2382.39990234375 ft,,America/Denver
Pierce,near,North Fork Elkhorn River,PRCN1,River Stage/Flow Location,US06799100,42.148459,-97.478821,OAX,MBRFC,NE,Missouri Region,No,1542.88 ft,11,12,14,16,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=oax&gage=prcn1,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,the USGS (06799100),Yes,Yes,Yes,Yes,Yes,NGVD29,1542.88,,1542.88 ft,,,Pierce,America/Chicago
Prattsburg Precipitation,,,PRCN6,Precipitation Location,,42.564444,-77.283889,BGM,MARFC,NY,Mid Atlantic Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=bgm&gage=prcn6,,Yes,,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Steuben,America/Puerto_Rico
Pricetown,,,PRCO1,Precipitation Location,,39.141944,-83.791944,ILN,OHRFC,OH,New England Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=iln&gage=prco1,,Yes,,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Highland,America/New_York
Purcell,at,Canadian River,PRCO2,River Stage/Flow Location,US07229200,35.013961,-97.347528,OUN,ABRFC,OK,Arkansas-White-Red Region,No,1017.14,11,12,13,14,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=prco2,HGIRG,Yes,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD29,1017.14,,1017.14,,,Cleveland,America/Chicago
Prudhoe Bay,at,Prudhoe Bay,PRDA2,River Stage/Flow Location,,70.400000,-148.526667,PAFG3,APRFC,AK,Alaska Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pafg3&gage=prda2,HMIRG,Yes,-9999 Feet,Year-round,No,No,Yes,NOAA/NOS,No,No,N/A,N/A,N/A,,,,,,,,America/Anchorage
Dam near I-70 in Eastern Marion County,above,Pogues Run,PRDI3,River Stage/Flow Location,US03352972,39.797222,-86.098889,IND,OHRFC,IN,Ohio Region,No,763.9 ft,14.5,19.5,25.5,28.5,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ind&gage=prdi3,HGIRG,Yes,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,763.44,763.44 ft,763.9 ft,,,Marion,America/New_York
Paradise,at,Green River (KY),PRDK2,River Stage/Flow Location,US03316500,37.263889,-86.977778,PAH,OHRFC,KY,Ohio Region,No,0,378,380,386,400,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pah&gage=prdk2,HGIRG,Yes,364 Feet,Year-round,No,No,No,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD29,363.19,,0,,,Muhlenberg,America/Chicago
Lock #2 Chamber,at,Pearl River,PRDL1,River Stage/Flow Location,US02492100,30.593333,-89.864444,LIX,LMRFC,LA,South Atlantic-Gulf Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=prdl1,HGIRG,Yes,-9999 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NAVD88,,,,,,St. Tammany Parish,America/Chicago
Piney Run,,,PRDM2,Precipitation Location,,39.394167,-76.983333,LWX,MARFC,MD,Mid Atlantic Region,No,,0,0,0,0,FT,UNK,https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=prdm2,,Yes,,,No,No,No,US Geological Survey,No,No,N/A,N/A,N/A,,,,,,,Carroll,America/New_York
Paradise,at,Pequea Creek,PRDP1,Stage/Flow and Precipitation Location,,40.014722,-76.131944,CTP,MARFC,PA,Mid Atlantic Region,No,,0,0,0,0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ctp&gage=prdp1,HGIRP,Yes,,Data Point,No,No,No,US Geological Survey,Yes,No,N/A,N/A,N/A,"NGVD 1929, 1943 SUP",390,,,,,Lancaster,America/New_York
Presidio,other,Rio Grande,PRDT2,Stage/Flow and Precipitation Location,US08374200,29.520000,-104.286389,MAF,WGRFC,TX,Rio Grande Region,No,,8,9,13,16,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=maf&gage=prdt2,HGIRG,Yes,-9999 Feet,Year-round,No,No,Yes,Intl Boundary & Water Commission,Yes,No,N/A,N/A,N/A,NGVD29,2527.99,,2527.99 ft,,,Presidio,America/Chicago
Priest Rapids Dam,below,Columbia River,PRDW1,River Stage/Flow Location,US12472800,46.628740,-119.8647,OTX,NWRFC,WA,Pacific Northwest Region,No,390 ft,31,32,33,34,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=otx&gage=prdw1,HGIRG,Yes,0 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,No,N/A,N/A,N/A,NGVD29,390,,390 ft,,,,America/Los_Angeles
